Contrast,Dissimilarity,Homogeneity,Energy,Correlation
286.2418164313222,8.119383825417202,0.30174159093043784,0.03181181980584681,0.8871497449838808
995.5266343825666,21.32142857142857,0.08693676856753448,0.017296891116500665,0.7656928985384344
521.1,13.826086956521738,0.12408589588940941,0.023316674222246824,0.8204606602280038
577.1331024245424,16.666006927263734,0.08302916222786316,0.020208389764138683,0.7847220695289312
1028.7971758664955,21.617458279845955,0.07658688700163992,0.021379433825348484,0.7364368403462918
561.8210526315789,15.009022556390978,0.09920711984507269,0.026132552175913936,0.8005897407012936
891.5720833333336,19.571250000000003,0.0755195204456729,0.018195504634081712,0.8453801198214983
784.7648083623694,17.322299651567945,0.09773179853345192,0.022090274798618158,0.8577120487156044
1067.844277673546,20.77861163227017,0.07295107784059898,0.021423631185691856,0.8320116177397532
948.079605263158,18.90328947368421,0.08583572682047004,0.023049800054414277,0.8731619550719386
700.9800853485065,15.964438122332858,0.08860614405116678,0.024473187103961954,0.881167230573946
886.3355311355313,17.128205128205128,0.09995918806125005,0.025218922312173635,0.8665864176220566
459.7784778225807,13.575856854838712,0.12377248239286343,0.01907181072833926,0.891341312956157
1216.8117483811282,24.42599444958372,0.06313487665350324,0.018259871362767695,0.8056954791058761
1255.1318181818183,23.01565656565657,0.0790665212135378,0.019658081268715728,0.843769835221007
1111.5514950166112,21.356589147286822,0.0716659142236331,0.020813893830800113,0.8227102124373323
762.9695079695082,18.090783090783095,0.0766099913891665,0.022620926880040842,0.8160108729260613
1072.2243767313018,20.451523545706372,0.07597667887173666,0.0230360767014957,0.849633956954838
614.4733766233766,17.424675324675324,0.07505645577798366,0.017743142603889723,0.7692539928646838
513.1219093406594,15.408997252747254,0.09401857953971954,0.019039720158831198,0.8725991315585431
329.79209183673476,11.480017006802722,0.12127059636847312,0.022586096913764335,0.9058862739874863
428.1307624113476,13.391400709219859,0.10675188067737394,0.022047571126677108,0.920394061121272
740.0027685492802,17.28626799557032,0.09424170173454159,0.021455810376520005,0.8678422387632375
262.2682926829269,11.611973392461199,0.09633935927412399,0.02355712789454078,0.9114307773948588
